,aro_llm,cor_llm,marca_llm,tamanho_do_quadro_llm,genero_llm,tipo_llm,material_do_quadro_llm,modelo_llm,aro_de_roda_llm,numero_de_marchas_llm,tipo_de_suspensao_llm,recursos_llm,alimentacao_llm,potencia_do_motor_llm,tema_llm,modalidade_llm,tamanho_llm,peso_suportado_llm,adicional_llm,tipo_de_freio_llm,title
86,20,Pink,BLISS,Aro 20,Menina,Infantil,Aço,BIC 20 MTB PINT MASFEM,Alumínio,1,Rigído,Com acessórios,Não informado,Não informado,Não informado,MTB,6 á 9 anos,Não informado,Não informado,VBrake,Bicicleta Infantil Menina Aro 20 com acessórios
87,16,Verde,Ultra Bikes,Não informado,Não informado,Infantil,Aço Carbono,Pro Tork,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,30kg,Acompanha rodinha apoio lateral,V-Brake,Bicicleta Infantil Ultra Bikes Big Fat Aro 16 Verde Pro Tork
88,29,Não informado,Dynamix,Não informado,Não informado,MTB,Alumínio,DX,29,21,Dianteira,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta dynamix dx+ aro 29 shimano 21v freio a disco mtb
89,29,Azul Pantone,Ksw,Não informado,Não informado,Mountain Bike,Alum,Xlt,Não informado,21,Curso 80mm,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,A disco mecânico,Mountain Bike Aro 29 Ksw Xlt Alum. 21 Vel. Azul Pantone Mcz4
90,29,Nero,Absolute,4,Não informado,Não informado,Alumínio,Nero 4,Não informado,12v,100mm,"Cambio Shimano Deore, Suspensão 100mm com travabr, RELAÇÃO TRANSMISSÃO DA BIKEbr br brCassete 12 Velocidades 11x50D GTAbrPedivela GTA RX HollowtechbrTrocador Indexado Semi Automático de 12V GTAbrCambio Traseiro Shimano Deore M6100 12vbrCubos Para com FreeHub para cassetebrCorrente indexada de 12vbr br brCOMPONENTES DA BIKEbr br brQuadro aro 29 Alumínio Absolute Nero 4brSuspensão de 100mm de CursobrAros Aeros para Disco Folha DuplabrRaios ZincadosbrPneus Aro 29 Com AramebrCâmara de Ar Aro 29brJogo Direção Ahead SetbrSuporte Do guidão 318brGuidão 318 MTBbrCanote do Selim MTBbrPedal MTB PlataformabrArruela Calço para Ahead Set 1cmbrManopla MTB ComumbrAbraçadeira do Selim com BlocagembrSelim MTBbrRotor de Freio De 160mmbrFreio a Disco Hidráulico",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta Aro 29 Absolute Nero 4 12v Cambio Shimano Deore
91,29,PretoCinza,Alfameq,Não informado,Não informado,Mtb,Alumínio,Atx 24v,29,24,Com Suspensão,"Garfo com suspensão, Rapid Fire",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Pneu com Faixa Bege,a Disco,Bicicleta Aro 29 Alfameq Atx 24v Freio a Disco Garfo Com Suspensão Mtb 29 Alumínio Pneu com Faixa Bege - Preto/Cinza
92,12,Azul,Nathor,Não informado,Infantil,Não informado,Não informado,Apollo,Não informado,Não informado,Não informado,"Rodinhas, Cestinha, Suporte de garrafa",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Bicicleta Infantil Aro 12 Nathor Aqua Azul
93,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,XLT,29,24,80mm de Cursor,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta Aro 29 Aluminio KSW Shimano Altus 24v Hidráulico
94,29,PretoVerde,KSW,15,Não informado,Não informado,Alumínio,Xlt,29,27,Com Trava,Rapid Fire,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta Aro 29 Ksw Xlt Alumínio Câmbio Traseiro Shimano Alívio e Altus 27v Freio Hidráulico Garfo Com Trava - Preto/Verde - Tam. 15
95,12,Não informado,Nathor,Não informado,Infantil,Não informado,Aço carbono,Veloz,Não informado,Não informado,Não informado,"Selim em PU com regulagem de altura, Pneus em EVA, Quadro garfo e guidão em aço carbono, Placa frontal, Mesa de direção em Nylon Reforçado, Garrafinha, Guidão com limitador de giro, Selim com regulagem e altura",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,"Limitador do giro do Guidão, Não danica o cabo de freio, Preserva a integridade física da Criança",Tambor,Bicicleta Infantil Nathor Aro 12 Veloz
96,12,Vermelho E ul,Track Bikes,Não informado,Não informado,Infantil,Aço Carbono,Arco Iris R,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,21Kg,Não informado,A Tambor,Bicicleta Aro 12 Tk Vermelho E ul Track Bikes Arco Iris R
97,26,Verde,Gios,Não informado,Não informado,Freeride,alumínio,Frx,Não informado,21v,Suspensão,Não informado,Não informado,Não informado,Não informado,Mountain Bike,Não informado,Não informado,Não informado,Disco,Bicicleta Gios Frx Freeride Aro 26 Freio Disco 21v Verde
98,29,Não informado,Ksw,15,Não informado,Urbana,Alumínio,24v,Não informado,8,Rigido,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Aro 29 Ksw 24v Shimano Freios a Disco Garfo Rígido
99,29,Nero,Absolute,Não informado,Não informado,Não informado,Alumínio,20V Relação 2x10 Com k7 e Trava,29,20,Com Trava,K7,Não informado,Não informado,Não informado,MTB,Não informado,Não informado,Não informado,Hidráulico,Bicicleta 29 Absolute Nero 20V Relação 2x10 Com k7 e Trava
100,29,Branco Rosa,Dropp,19,Não informado,Não informado,Aço,29,Aero 36 Furos folha dupla alumínio preto,21,AHET SET Dianteira 80 mm,Não informado,Não informado,Não informado,Não informado,Mountain Bikes,Não informado,130 Kg,Não informado,a disco mecânico,Bicicleta Aro 29 Freio a Disco Mecânico Quadro 19 Suspensão 21 Marchas Aço Branco Rosa - Dropp
101,29,Não informado,Não informado,Não informado,Não informado,Não informado,Alumínio,Cripto,Não informado,24,Cursor,Não informado,Não informado,Não informado,Não informado,Urbana e trilhas leves,Não informado,Não informado,Não informado,Disco,Bicicleta Aro 29 Cripto 24 Marchas Freios Disco e Suspensão
102,29,PretoAmareloVerde,Alfameq,Não informado,Feminina,Não informado,Alumínio,Pandora,29,21,Garfo Suspensão,Câmbios Shimano,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Aro 29 Alfameq Pandora Feminina Alumínio Câmbios Shimano 21v Freio a Disco Garfo Suspensão - Preto/Amarelo/Verde
103,29,Nero,Absolute,Não informado,Não informado,MTB,Alumínio,4,29,12,100mm de Curso,Freio hidráulico,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1x12V,Hidráulico,Bicicleta Aro 29 Absolute Nero 4 Freio hidráulico 1x12V
104,29,Não informado,KRW,Não informado,Não informado,Não informado,Alumínio,Spotlight SX29,29,24,Mecânica,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Aro 29 KRW Spotlight Alumínio 24 Vel Freio a Disco SX29
105,20,branca,Não informado,Não informado,feminina,infantil,aço carbono,aero,Não informado,Não informado,rígido,aro de roda lateral de apoio,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,V-Brake,Bicicleta infantil feminina  aro 20 aero e roda lateral de apoio branca
106,29,Grafite,KSW,19,Masculino/Feminino,Mountain Bike,Não informado,XLT 100,29,21,Suspensão 29 aço ahead set 286mm preta com canelas de 38mm e travel de 80mm,Não informado,Não informado,Não informado,Não informado,MOUNTAIN BIKE,Não informado,Não informado,Não informado,Mecânico,Bicicleta Aro 29 KSW XLT 100 21V Shimano Quadro 19 Grafite
107,29,PretoLaranja,Ksw,Não informado,Não informado,Não informado,alumínio,Xlt,Não informado,24,suspensão,"Câmbio Shimano, Freios Hidráulicos, Garfo com Suspensão",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,disco hidráulico,Bicicleta aro 29 Ksw Xlt 24v Câmbios Shimano Freios Hidráulicos Garfo com Suspensão - Preto/Laranja
108,12,PretoVermelho,Nathor,Não informado,Masculino,Infantil,Aço carbono e plástico,Mechanic,Não informado,Não informado,Não informado,"Rodas de treinamento, freio a tambor, cortes a laser, soldas por robôs, dobra computadorizadas",Não informado,Não informado,Não informado,Não informado,90 - 100 cm,Não informado,Garrafinha de água,Tambor,Bicicleta infantil masculino Mechanic Aro 12 NATHOR rodinhas
109,26,Não informado,Caloi,Não informado,Feminino,Não informado,alumínio,400,Não informado,21,45mm,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Bicicleta Caloi 400 Aro 26 21 Marchas
110,12,Não informado,NATHOR,Não informado,infantil,balance bike,Não informado,GARDEN,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Bicicleta infantil aro 12 balance bike garden nathor unidade
111,29,BrancoVioleta,Ksw,Não informado,Feminina,Não informado,Alumínio,Mwza,Não informado,27,Não informado,Freios Hidráulicos,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta Feminina aro 29 Ksw Mwza 27v Câmbios Shimano Altus Freios Hidráulicos - Branco/Violeta
112,29,PretoCinza,Alfameq,Não informado,Não informado,Não informado,alumínio,Atx 24v,Não informado,24,Suspensão,"Freios a Disco Hidráulicos, Garfo Suspensão, Pneu com Faixa Bege",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,a disco Hidráulicos,Bicicleta Aro 29 Alfameq Atx 24v Freios a Disco Hidráulicos Garfo Suspensão Pneu com Faixa Bege - Preto/Cinza
113,Não informado,Vermelha,Buba,Não informado,Não informado,Bicicletinha de Equilíbrio,Metal,Não informado,Não informado,Não informado,Não informado,Guidão móvel e macio,Não informado,Não informado,Não informado,Não informado,35 x 20 x 50,Não informado,Estrutura em Metal,Não informado,Bicicleta Bicicletinha  de Equilíbrio Vermelha 4 Rodas  Buba
114,26,Não informado,Fisher,Não informado,Unissex,Juvenil,Não informado,Altay,Não informado,21,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Aprovado pelo INMETRO,Não informado,Bicicleta Fisher Altay Aro 26 21 Marchas
115,29,Não informado,KOG,Não informado,Não informado,Mountain Bike,Alumínio,Não informado,29,12,Trava no Ombro,Cabeamento Interno,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta Aro 29 Kog 12V Freio Disco Hidráulico Trava
116,29,Não informado,TSW,Não informado,Não informado,MTB,Alumínio,Hurry,29,12,Rock Shox Judy,"Trava Remota, Ajuste de Preload, Off set 46 mm",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta tsw hurry rockshox 12v xtime
117,12,AzulPreto,Nathor,Não informado,Meninos,Infantil,Não informado,Veloz,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Bicicleta Aro 12 Infantil Masculino Veloz Nathor
118,12,Violet,NATHOR,Não informado,Não informado,Não informado,Aço Carbono,Não informado,Não informado,Não informado,Não informado,"Selim com regulagem e altura, Guidão com limitador de giro, Mesa de direção em Nylon Reforçados, Garrafinhas, Cestinhas, Quadro garfo e guidão em aço carbono, Pneus em EVA",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Idade mínima recomendada: A partir de 3 anos,Tambor,Bicicleta NATHOR aro 12 - Violet
119,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,XLT,29,24,80mm,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta MTB Aro 29 KSW XLT 24V Shimano Freio Hidráulico
120,26,BrancoVerde,Vikingx,Não informado,Não informado,Não informado,Alumínio,Tuff,Vmaxx,21v,60mm,Freio Hidráulico a Disco,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico a Disco,Bicicleta Aro 26 Vikingx Tuff 21v Alumínio Freio Hidráulico a Disco Aros Vmaxx Branco - Branco/Verde
121,29,PretoAzul,Xlt Ksw,Não informado,Não informado,Não informado,alumínio,Não informado,Não informado,24,com Trava no Ombro,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,disco mecânico,Bicicleta Aro 29 Xlt Ksw Alumínio 24v Câmbios Shimano Garfo com Trava no Ombro - Preto/Azul
122,26,tiffany,MARIA CLARA BIKES,17,Não informado,retro,aço,Não informado,aero,6,Não informado,cesta,Não informado,Não informado,Não informado,Não informado,Não informado,135,Não informado,V-BRAKE,Bicicleta Aro 26 retrô  cesta 6 marchas mary tiffany
123,Não informado,Não informado,Não informado,Não informado,Não informado,Equilibrio,Aço,Escolar,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,80 kg,Não informado,Não informado,Bicicleta de Equilibrio Escolar
124,29,Não informado,Xnova,Não informado,Não informado,MTB,Alumínio,Attus,29,21,com Trava,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,a Disco,Bike Aro 29 Xnova Attus Alumínio 21v Marchas Suspensão com Trava Freio a Disco
125,29,Preto Cinza,Dropp,15,Não informado,Mountain Bike,Alumínio,Z4-X,Não informado,24,Suspensão de 80mm,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,130 Kg,Não informado,Disco Mecânico,Bicicleta Z4-X Quadro 15 Aro 29 Alumínio 24 Marchas Freio Disco Mecânico Preto Cinza - Dropp
126,29,Grafite,Ksw,Não informado,Não informado,Não informado,Alumínio,Xlt,29,27,Trava,"Freio Hidráulico, Garfo com Trava, Pneu com Faixa Bege",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta Aro 29 Ksw Xlt 27v Freio Hidráulico K7 Garfo com Trava Pneu com Faixa Bege - Grafite
127,29,Verde,Absolute,Não informado,Feminina,Não informado,Alumínio,Hera,29,27,Suspensão,Rapid Fire,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,K7,Disco Mecânico,Bicicleta Aro 29 Absolute Hera Feminina Alumínio 27v K7 Freio a Disco Mecânico Garfo com Suspensão - Verde
128,26,Preto,Não informado,Não informado,Não informado,Fat,Aço Carbono,Não informado,Não informado,21,Dupla,Dobrável,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Bike Fat Dobrável 21 Marchas Preto
129,29,PretoRosa,Drais,19,Não informado,MTB,Alumínio,29,29,24,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,"Bicicleta 29 Drais 24v Freio A Disco MTB Alumínio 32r Preto/Rosa 19"" - 277"
130,Não informado,Rosa,Bandeirante,Não informado,Não informado,Equilíbrio,Não informado,Balance Bike,Não informado,Não informado,Não informado,"guidão limitador de giro, regulagem de altura, manoplas em TPE atóxico, selim anatômico com regulagem de altura, rodas com pneus em EVA",Não informado,Não informado,Não informado,Não informado,Não informado,21kg,Não informado,Não informado,Bicicleta de Equilíbrio Bandeirante Balance Bike Rosa
131,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,XLT,29,24,80mm,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta aro 29 KSW XLT 24 Marcha Shimano Freio Hidráulico
132,29,Grafite,Absolute,Não informado,Não informado,Não informado,Alumínio,Nero 4,29,27,Com Trava,"Câmbio Traseiro Shimano Deore e Altus, Freio Hidráulico, Garfo Com Trava",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Cabos Internos,Hidráulico,Bicicleta Aro 29 Absolute Nero 4 Cabos Internos Câmbio Traseiro Shimano Deore e Altus 27v Freio Hidráulico Garfo Com Trava - Grafite
133,26,Não informado,Dalannio Bike,18,Não informado,Passeio,Aço Carbono,Stroll,26,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,V-Brake,Bicicleta Aro 26 Passeio Stroll
134,29,Não informado,KSW,Não informado,Não informado,Não informado,Alumínio,XLT100,29,12,Com Trava no Ombro,Não informado,Não informado,Não informado,Não informado,MTB,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta Aro 29 KSW XLT100 12 Velocidades Relação Absolute
135,29,branco,Tecultra30,21,Não informado,Elétrica,alumínio,Tecultra30,29,21,guidão,Não informado,bateria de lítio,350w,Não informado,urbano,Não informado,120 kg,Não informado,disco mecânico,Bicicleta Elétrica Tecultra3.0 10 A/H Motor 350W-Quadro 21 B
136,20,Não informado,TwoDogs,Não informado,Não informado,Dobrável,Aço carbono,Pliage,20 x 15,7,Não informado,"Dobrável, Elétrica, Pedal assistido, Computador de bordo, Iluminação, Freio a disco, Bagageiro, Bolsa porta trecos",Bateria,350W,Não informado,Lazer,Não informado,90 Kg,"Motor impermeável,  Bateria de lítio,  Pneus mais largos,  Selim mais confortável,  Para-lama de alumínio,  Travas mais resistentes,  Descanso lateral",Disco,Bicicleta Elétrica Dobrável Pliage 350w Plus Two Dogs 2022
137,12,vermelho,Nathor,Não informado,Masculino,Não informado,aço carbono,Mickey,12,Não informado,Não informado,"limitador de giro do guidão, pneus em e v a, cestinha ou plaquinha, mesa de direção em nylon reforçado, selim com regulagem de altura, freio dianteiro a tambor, trava de segurança",Não informado,Não informado,Mickey,Não informado,Não informado,21 kg,Não informado,a tambor,Bicicleta Masculins Aro 12 Marca Nathor Modelo Mickey
138,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,XLT Altus 24v,29,24,80mm de Cursor,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Disco Hidráulico,Bicicleta Aro 29 KSW XLT Altus 24v Hidráulico
139,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,Não informado,29,24,Não informado,"Freio a disco hidráulico, Led",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta KSW Aro 29 Câmbios Shimano 24 Marchas Freio Disco Hidráulico com Suspensão + Led
140,26,Não informado,Colli,18,Não informado,Não informado,Aço Carbono,Fulls GPS,26,21,Dupla Suspensão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,100 Kg,Não informado,V-Brake,Bicicleta Colli Aro 26 GPS Dupla Suspensão 21 Marchas Freios V-Brake Aço Carbono
141,29,Não informado,Raider,"15, 17, 19, 21",Não informado,MTB,Alumínio,Z3X,29,24,Suspensão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Aro 29 Raider Z3X 24 Vel Câmbio Traseiro Shimano Freio a Disco Bike MTB Alumínio
142,12,AZUL,Não informado,Não informado,Masculino,Balance,Aço carbono,Equilibrio sem Pedal,12,Não informado,Não informado,Limitador de giro do guidão,Não informado,Não informado,Não informado,Não informado,Não informado,21 kg,Não informado,Não informado,Bicicleta Infantil Balance Masculino Equilibrio sem Pedal AZUL
143,29,Não informado,Ksw,Não informado,Não informado,MTB,Alumínio,Não informado,29,21,Cursor,Não informado,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Disco,"Bicicleta Aro 29 Ksw 21 Marchas Shimano, Freios a Disco e K7"
144,29,Não informado,KOG,Não informado,Não informado,MTB,Alumínio,Não informado,29,12,80mm,Cabeamento Interno,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Hidráulico,Bicicleta Aro 29 MTB KOG 12 Velocidades Freios Hidráulicos
145,26,Não informado,Mobele,17,Feminina,Não informado,aço carbono,Imperial,26,7,Não informado,"Bagageiro, Para Lamas, Protetor de Correntes",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,V-Brake,Bicicleta Feminina Mobele Imperial 7V Aro 26
146,24,verde esmeralda e roxo,WINDY,Não informado,Não informado,Não informado,aço carbono,Houston,Não informado,21,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,com cesta,V-Brake,Bicicleta aro 24 com 21 marchas freio V-Brake verde esmeralda e roxo com cesta - WINDY - Houston
147,29,Não informado,KSW,Não informado,Não informado,Mountain Bike,Alumínio,XLT,29,21,Dianteira,"Componentes em alumínio, Freios a Disco, Suspensão Dianteira",Não informado,Não informado,Não informado,Não informado,17,Não informado,Não informado,Disco,Bicicleta Aro 29 Bike Ksw Xlt 21 Marchas Alumínio Freio a Disco
148,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,XLT,29,21,80mm,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta Aro 29 KSW XLT 21v Shimano Tourney
149,29,Preto e Branco,Spaceline,Não informado,Não informado,MTB,Alumínio,Orion,Não informado,21,80mm de amortecimento,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Aro 29 Spaceline Orion  Preto e Branco
150,29,Azul Escuro Preto,Dropp,19,Não informado,Mountain Bike,Alumínio,SX Sport,Não informado,21,Suspensão de 100mm sem Travabr,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,110 kg,Não informado,Freio a Disco Mecânico,Bicicleta SX Sport Aro 29 Quadro 19 Alumínio 21v Shimano TZ Freio Mecânico Azul Escuro Preto - Dropp
151,700c,Preto Fosco,Groove,18,Não informado,Urban,Alumínio,ID,Não informado,21,Não informado,"Paralamas, Guidão regulável",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco mecânico,Bicicleta Groove Urban ID 21v aro 700c Preto Fosco Quadro 18
152,20,Não informado,Tridal,14,Masculino,MTB,Aço,Boy,Não informado,1,Não informado,Não informado,Não informado,Não informado,Não informado,Infantil,Não informado,70 Kg,Não informado,V-Brake,Bicicleta Aro 20 MTB Boy Infantil Tridal
153,12,Black,Nathor,Não informado,Menino,Infantil,Aço carbono,Não informado,Não informado,Não informado,Não informado,"Limitador de giro do guidão, Pneus em EVA, Cestinha ou plaquinha, Mesa de direção em nylon reforçado, Selim com regulagem de altura, Freio dianteiro a tambor, Trava de segurança",Não informado,Não informado,Não informado,Não informado,Não informado,21 kg,Rodinhas de Treinamento,Tambor,Bicicleta Infantil Black Aro 12 com Rodinhas de Treinamento e Freio a Tambor
154,29,Não informado,Rino,15  17  19  21,Não informado,MTB,Alumínio Liga 6061,Everest,Não informado,24,Aço,"Freios à Disco, Câmbios Indexados, Alavanca de Troque Rápido, Garfo com Suspensão, Câmara Max Tube Br, Câmbio Dianteiro 3V, Câmbio Traseiro Indexado, Roda Livre 8V, Alavanca Rapidfire 8V, Troque Rápido, Suporte Aheadset 318 Alumínio, Canote de Alumínio Preto, Movimento Central de Rolamento, Corrente Index, Pneu 29 Cravo, Cubo Disk Aço Esferado, Caixa de Direção Esfera, Freio a Disco, Guidão Reto 3180 680 MM, Pedal MTB Nylon, Quadro Alumínio Liga 6061, Manopla, Selim Selle Royal, Garfo 29 Suspensão Aço, Aro Aero 29 Vzan, Abraçadeira C Blocagem, Pedivela Triplo Aço, Espaçador Aheadset 10mm Alumínio",Não informado,Não informado,Não informado,Não informado,Não informado,110 KG,Não informado,Disco,Bicicleta aro 29 Rino Everest a Disco 24v Index - ESTOQUE
155,29,Não informado,Alfameq,Não informado,Não informado,MTB,Alumínio,ATX Altus 24V,29,24,100mm de Curso,Freio Hidráulico,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,K7,Disco Hidráulico,Bicicleta Aro 29 Alfameq ATX Altus 24V Freio Hidráulico e K7
156,29,Não informado,KSW,19 Polegadas,Não informado,MTB,Alumínio,Não informado,29,21,Não informado,Não informado,Não informado,Não informado,Não informado,Urbana,19 Polegadas,Não informado,Não informado,Disco,Bicicleta Alumínio Aro 29 KSW Shimano Freio Disco 21 Velocidades
157,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,Não informado,29,12,Suspensão de 100mm de Curso,Freio Hidráulico Susp Trava GTA,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bike MTB 29 KSW 12V Freio Hidráulico Susp Trava GTA
158,29,Não informado,Dropp,Não informado,Feminina,Não informado,Alumínio,RS1,29,21,Suspensão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Feminina Aro 29 Dropp Rs1 21 velocidades Câmbio Shimano Freio a Disco
159,12,Não informado,Nathor,Não informado,Feminino,Infantil,Não informado,Antonella,Não informado,Não informado,Não informado,"Selim PU, limitador de giro, regulagem de ângulo do guidão, regulagem de altura do selim, movimento central avançado",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Bicicleta Infantil com Rodinhas Aro 12 Selim PU Antonella Nathor
160,29,BrancaVerde,Ello Bike,Não informado,Não informado,Não informado,Aço Carbono,Velox,Não informado,21,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Aro 29 Shimano Freio a Disco 21M. Velox Branca/Verde - Ello Bike
161,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,Não informado,29,27,Sem Trava,Não informado,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Hidráulico,Bicicleta MTB Aro 29 KSW 27v Freio Hidráulico Cubos K7
162,29,Laranja,X-PROBIKE,Não informado,Não informado,Não informado,alumínio,Não informado,29,21,mecânica,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,a Disco,Bicicleta Aro 29 Freio a Disco 21v Laranja X-PROBIKE
163,20,Não informado,Pro-X,Não informado,Não informado,BMX,Aço Hi-Ten,Série 20,Não informado,Não informado,Não informado,"Eixo de 14mm, Freio U-Brake, Pedivela 3 peças, Aros de Parede Dupla, Suporte de Guidão Vazado, Manete em Alumínio",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,U-Brake,Bicicleta pro x bmx serie 20 2024 freio u-brake aro 20
164,12,Não informado,Caloi,Não informado,Infantil,Não informado,Aço,Hot Wheels,Não informado,Não informado,Não informado,"Cestinha, Garrafinha, Paralama, Cobre Corrente",Não informado,Não informado,Hot Wheels,Não informado,Não informado,25 kg,Não informado,Tambor,Bicicleta Infantil Aro 12 Hot Wheels Com Rodinhas Caloi 3+
165,26,Branco,Depedal Bikes,Não informado,Não informado,Downhil,Não informado,DNE 028,Não informado,18,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Bicicleta Downhil 18 Marchas Aro 26 DNE 028 Depedal Bikes Branco
166,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,XLT,29,12,Com Trava,Trava no Ombro,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta Aro 29 KSW XLT 12V Freio Hidráulico Susp C Trava
167,29,Não informado,KOG,Não informado,Não informado,Mountain Bike,Alumínio,Não informado,29,21,Suspensão de 80mm de Cursor,Não informado,Não informado,Não informado,Não informado,Urbana,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta Aro 29 KOG 21 Marcha Cambio Shimano Freio a Disco
168,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,XLT,29,27,Trava,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta MTB Aro 29 KSW 27 Marchas Freio Hidráulico K7 Suspensão Trava
169,29,Não informado,KRW,Não informado,Não informado,Não informado,Alumínio,Spotlight,29,27,com Trava,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta Aro 29 KRW Spotlight Alumínio 27 Vel Freio a Disco Hidráulico com Trava SX53
